Recipient Adygei Armenian Balochi BantuKenya BantuSouthAfrica Basque Bedouin Belorussian BiakaPygmy Bulgarian Burusho Cambodian Chuvash Colombian Cypriot Dai Daur Druze EastSicilian Egyptian English Ethiopian EthiopianJew Finnish French Georgian GermanyAustria Greek Hadza Han HanNchina Hazara Hezhen Hungarian IndianJew Indian Iranian Ireland Japanese Jordanian Kalash Karitiana Lahu Lezgin Lithuanian Makrani Mandenka Maya MbutiPygmy Melanesian Miao Mongola Moroccan Mozabite Myanmar Naxi NorthItalian Norwegian Orcadian Oroqen Palestinian Papuan Pathan Pima Polish Romanian Russian Sandawe SanNamibia SanKhomani Sardinian Saudi Scottish She Sindhi SouthItalian Spanish Surui Syrian Tu Tujia Tunisian Turkish Tuscan UAE Uygur Uzbekistani Welsh WestSicilian Xibo Yakut Yemeni Yi
Adygei1 583.687 119.194 109.605 8.422 4.473 137.189 206.777 49.553 10.921 119.45 113.462 21.941 102.335 15.452 70.067 21.691 23.839 239.324 52.39 37.11 32.927 39.458 22.179 7.163 170.7 256.041 18.748 132.301 1.507 83.2 25.156 98.189 22.325 120.297 32.276 41.471 76.495 34.41 68.608 102.408 124.557 32.347 13.776 126.573 66.349 116.954 14.545 59.417 5.762 20.431 20.915 34.956 84.017 91.033 4.239 17.793 75.77 113.764 102.448 28.223 236.967 30.911 109.986 35.484 122.993 86.43 167.928 28.256 1.859 30.543 156.21 43.091 33.503 22.237 106.904 105.029 190.178 16.568 83.451 27.231 21.209 45.74 120.031 50.342 36.171 45.271 80.468 22.487 51.592 27.276 127.39 15.885 23.662
Adygei2 625.795 118.835 116.219 6.841 4.295 149.101 223.176 52.386 10.236 113.804 125.075 19.238 93.067 13.288 85.141 16.424 20.587 255.125 51.752 42.145 39.135 41.513 26.857 8.619 180.418 249.357 24.586 130.667 1.687 67.284 18.352 91.135 16.022 119.305 31.066 44.894 84.462 40.633 54.752 96.595 115.894 32.717 12.679 138.701 64.855 122.044 14.824 51.091 5.831 19.254 18.251 22.669 83.426 89.076 3.664 13.523 76.477 118.073 93.434 20.861 239.871 28.025 115.617 28.241 106.469 91.388 154.224 28.707 2.196 27.959 149.08 49.139 34.552 17.39 119.94 112.541 205.206 13.521 97.329 19.754 17.705 46.301 126.838 47.053 39.539 41.681 72.288 21.243 64.804 21.991 77.659 17.831 19.816
Adygei3 693.434 118.848 105.683 7.124 3.999 138.33 225.267 44.835 10.59 117.126 119.797 18.514 92.511 12.334 71.365 17.172 21.312 249.757 61.22 41.762 33.704 42.206 25.912 7.079 174.614 241.966 23.89 124.639 2.094 66.868 19.701 100.914 18.452 117.985 30.737 41.635 76.907 34.36 57.42 97.141 117.186 23.911 12.931 137.182 71.174 114.959 14.526 54.046 5.799 16.263 16.53 26.149 85.571 94.458 4.341 15.78 65.517 110.674 92.815 22.407 248.853 31.221 113.476 28.728 108.522 77.222 154.871 32.132 2.141 34.191 162.059 43.536 38.592 18.328 107.719 111.919 212.316 14.078 87.756 24.592 17.842 49.052 126.743 52.182 39.883 39.036 75.803 21.757 60.159 21.326 83.043 14.669 19.058
Adygei4 512.035 100.868 108.808 7.727 4.183 135.841 203.172 64.741 10.652 118.657 132.803 24.702 95.017 15.684 70.679 23.236 33.054 230.624 55.526 42.486 32.521 38.978 24.411 5.033 190.818 230.529 25.774 136.338 1.68 101.382 28.494 107.771 27.029 114.166 36.488 40.17 71.517 38.154 82.278 92.56 120.268 31.967 19.872 129.579 80.804 111.153 14.377 58.174 5.7 21.79 22.579 40.641 91.503 89.456 4.415 19.009 64.368 116.36 92.761 34.319 249.071 31.877 112.06 36.347 116.293 81.657 172.899 32.539 2.055 29.688 150.73 43.508 33.646 24.562 104.106 109.091 189.373 20.498 88.53 29.058 27.907 43.358 123.427 43.893 37.355 44.375 69.835 16.067 44.63 35.286 114.858 15.435 28.117
Adygei5 428.382 113.201 107.97 6.681 4.383 140.061 211.208 48.054 10.685 131.009 112.636 22.128 95.466 15.859 72.163 19.81 24.764 245.316 61.004 38.84 31.694 38.965 22.871 9.662 181.821 286.42 24.168 137.743 1.609 82.676 25.975 97.005 20.56 117.001 33.14 42.355 79.149 45.119 67.991 105.19 122.167 33.077 17.762 148.564 73.897 114.66 15.049 59.637 6.112 20.596 20.981 27.432 88.685 93.917 5.935 18.591 72.808 120.068 96.877 29.69 253.726 30.517 114.981 33.593 113.388 90.505 169.73 30.154 2.166 31.223 152.882 46.981 35.099 21.828 115.762 117.25 203.239 16.595 107.123 26.378 21.633 45.815 124.649 50.579 40.965 47.526 68.449 20.626 60.458 22.744 93.267 12.072 22.031
Adygei6 662.903 106.004 110.088 6.908 4.217 140.042 214.348 53.592 10.144 116.735 118.668 18.499 91.761 16.07 74.981 17.676 19.006 239.894 54.7 43.328 30.167 44.148 27.364 5.175 181.606 268.204 22.021 126.587 2.299 71.196 20.522 89.423 18.066 124.627 27.736 38.891 78.813 36.963 56.895 96.719 111.783 28.616 13.814 143.08 70.341 118.398 14.888 52.309 6.086 19.287 16.638 25.673 89.848 93.109 3.746 15.745 69.309 121.999 91.284 18.971 250.956 28.388 115.109 30.543 119.8 87.892 167.565 30.127 2.415 29.962 155.502 50.382 36.924 18.761 110.447 106.556 201.765 15.646 86.349 22.872 18.817 42.753 137.52 51.986 42.418 39.667 68.49 18.292 54.286 21.281 78.98 13.669 17.981
Adygei7 688.049 119.133 103.416 6.913 4.722 144.974 213.995 47.817 10.378 110.225 120.758 21.395 87.711 15.221 70.902 18.679 20.769 250.428 55.44 43.167 34.145 42.076 20.913 6.426 183.971 272.447 19.851 127.624 1.522 75.346 21.061 99.775 19.698 125.524 31.344 40.39 79.377 39.78 62.575 89.936 112.111 30.628 13.638 137.745 53.455 107.2 13.874 51.25 6.114 16.711 17.67 23.522 83.899 86.224 3.664 13.89 71.126 116.059 94.671 20.733 244.866 28.019 109.091 29.56 100.228 87.517 161.982 27.813 1.661 29.981 153.527 46.834 36.808 19.262 117.457 113.081 203.008 15.167 95.113 21.762 19.039 44.322 151.849 46.595 40.785 41.248 68.33 26.447 56.278 20.569 76.828 13.682 18.534
Adygei8 389.299 96.299 101.571 7.975 3.766 151.709 189.564 71.815 10.012 141.57 111.133 21.719 198.903 16.001 67.509 19.655 30.806 215.56 59.329 39.165 39.583 35.936 20.846 10.718 198.177 182.669 26.228 138.726 2.32 88.458 25.337 111.005 21.079 150.883 34.318 37.229 75.464 44.722 72.519 86.145 99.324 29.453 17.153 127.107 105.114 116.021 13.892 57.694 5.521 18.088 24.182 35.466 88.082 90.086 4.549 20.246 73.268 133.053 111.308 35.873 215.275 29.873 104.396 36.735 154.798 89.953 231.671 28.089 2.168 33.05 159.431 35.321 33.762 22.722 108.429 108.682 215.283 16.023 81.198 27.645 21.94 41.023 116.877 45.215 34.613 40.185 64.63 24.07 58.877 22.182 117.662 12.904 19.596
Adygei9 444.01 111.479 107.938 6.708 4.366 145.376 200.647 64.786 10.402 144.343 119.703 19.965 115.655 14.882 62.281 18.844 21.108 219.181 55.841 38.431 36.091 37.397 21.911 12.94 198.301 208.694 33.668 131.872 1.354 73.885 24.779 94.7 22.859 142.918 30.761 40.216 69.251 45.083 71.685 90.938 106.911 29.319 14.758 132.358 89.477 101.752 14.283 52.735 6.404 18.366 19.384 36.879 80.814 94.256 4.001 15.347 68.347 144.731 114.885 28.873 214.715 28.484 111.462 32.941 147.628 108.577 238.09 28.447 2.584 32.058 154.399 37.99 44.636 20.195 109.155 109.333 203.325 16.069 97.185 23.762 19.775 50.269 131.115 48.626 38.781 48.863 73.811 21.96 53.018 28.284 97.936 10.134 20.99
Adygei10 589.731 108.37 121.634 9.259 3.973 136.278 206.579 42.233 11.016 125.981 115.391 23.41 97.856 15.545 69.927 19.819 26.434 241.912 58.981 41.023 32.499 39.918 22.933 5.133 176.721 272.352 20.245 142.55 1.683 86.156 25.192 97.816 24.552 117.226 31.854 45.173 73.595 34.326 70.924 88.755 100.764 29.907 16.475 131.849 67.044 111.609 16.618 54.65 5.509 18.819 23.565 29.069 89.734 84.567 4.724 20.212 75.168 112.613 94.01 30.991 228.293 31.51 118.047 31.664 110.52 78.285 176.031 28.89 2.135 34.406 148.278 45.3 35.471 23.364 110.788 104.554 197.861 17.117 86.365 27.229 25.249 45.456 120.918 48.448 39.529 43.408 72.663 23.924 54.413 30.474 110.493 12.998 25.552
